"Name","InstanceId","Status","Class","FriendlyName","HardwareID"
"Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","PCI\VEN_8086&DEV_2041&SUBSYS_07381028&REV_04\3&36CB97A3&0&61","OK","System","Intel(R) Xeon(R) processor P family/Core i7 Integrated Memory Controller - 2041","System.String[]"
"USB Composite Device","USB\VID_046D&PID_C52B\5&129774C1&0&3","Unknown","USB","USB Composite Device","System.String[]"
"EMBERTON","BTHENUM\DEV_0421446BBFFB\7&B265E0C&0&BLUETOOTHDEVICE_0421446BBFFB","OK","Bluetooth","EMBERTON","System.String[]"
"USB Composite Device","USB\VID_046D&PID_0826\9A09EC10","Unknown","USB","USB Composite Device","System.String[]"
"Movies","SWD\WPDBUSENUM\_??_USBSTOR#DISK&VEN_&PROD_USB_DISK_3.0&REV_PMAP#07190C73F88BEB45&0#{53F56307-B6BF-11D0-94F2-00A0C91EFB8B}","Unknown","WPD","Movies",
"Headset (E7 Hands-Free)","SWD\MMDEVAPI\{0.0.0.00000000}.{AE3D3CDE-FAD1-4DF7-BCF6-8C684F878888}","Unknown","AudioEndpoint","Headset (E7 Hands-Free)","System.String[]"
"USB Composite Device","USB\VID_046D&PID_C534\6&3183D08&0&2","Unknown","USB","USB Composite Device","System.String[]"
"Composite Bus Enumerator","ROOT\COMPOSITEBUS\0000","OK","System","Composite Bus Enumerator","System.String[]"
"Bluetooth Device (RFCOMM Protocol TDI)","BTH\MS_RFCOMM\6&191B35EC&0&0","OK","Bluetooth","Bluetooth Device (RFCOMM Protocol TDI)","System.String[]"
"Microsoft Virtual Drive Enumerator","ROOT\VDRVROOT\0000","OK","System","Microsoft Virtual Drive Enumerator","System.String[]"
"HID-compliant system controller","HID\VID_046D&PID_C52B&MI_01&COL03\7&39DE0742&0&0002","Unknown","HIDClass","HID-compliant system controller","System.String[]"
"Bluetooth Device (Personal Area Network)","BTH\MS_BTHPAN\6&191B35EC&0&2","OK","Net","Bluetooth Device (Personal Area Network)","System.String[]"
"HID Keyboard Device","HID\VID_1532&PID_0084&MI_01&COL01\7&337D3F2A&1&0000","OK","Keyboard","HID Keyboard Device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2083","PCI\VEN_8086&DEV_2083&SUBSYS_07381028&REV_04\3&2411E6FE&0&F3","OK","System","Intel(R) Xeon(R) processor P family/Core i7 PCU Registers - 2083","System.String[]"
"HID-compliant consumer control device","HID\VID_046D&PID_C52B&MI_01&COL02\8&2CF18200&0&0001","Unknown","HIDClass","HID-compliant consumer control device","System.String[]"
"Volume","STORAGE\VOLUME\{882ED161-E4D1-11EC-A496-806E6F6E6963}#0000000021400000","OK","Volume","Volume","System.String[]"
"Microsoft Storage Spaces Controller","ROOT\SPACEPORT\0000","OK","SCSIAdapter","Microsoft Storage Spaces Controller","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","PCI\VEN_8086&DEV_2049&SUBSYS_07381028&REV_04\3&36CB97A3&0&59","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","PCI\VEN_8086&DEV_2049&SUBSYS_07381028&REV_04\3&36CB97A3&0&69","OK","System","Intel(R) Xeon(R) processor P family/Core i7 LM Channel 2 - 2049","System.String[]"
"HID-compliant device","HID\VID_1532&PID_0084&MI_03\7&1E42AD9F&0&0000","OK","HIDClass","HID-compliant device","System.String[]"
"Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2055","PCI\VEN_8086&DEV_2055&SUBSYS_07381028&REV_04\3&2411E6FE&0&E9","OK","System","Intel(R) Xeon(R) processor P family/Core i7 CHA Registers - 2055","System.String[]"
"Microsoft Windows Management Interface for ACPI","ACPI\PNP0C14\23","OK","System","Microsoft Windows Management Interface for ACPI","System.String[]"
